Frame #,# Obj,X,Y,Z,Doppler,Intensity,Abs Time
693,39,0.42285,1.8535,0.34961,0,11,1.6171e+09
693,39,0.49023,1.8613,0.37988,0,34,1.6171e+09
693,39,0.49805,1.8916,0.37598,0,66,1.6171e+09
693,39,0.50488,1.9199,0.37793,0,88,1.6171e+09
693,39,0.5127,1.9482,0.38086,0,81,1.6171e+09
693,39,0.58496,1.957,0.3916,0,51,1.6171e+09
693,39,0.52734,2.001,0.40723,0,22,1.6171e+09
693,39,-0.17578,1.8564,0.19141,0.356,8,1.6171e+09
693,39,0,1.9033,0,0.356,8,1.6171e+09
693,39,0.42285,1.834,0.44043,0.356,29,1.6171e+09
693,39,0.42969,1.8594,0.45605,0.356,90,1.6171e+09
693,39,0.43555,1.8906,0.44824,0.356,168,1.6171e+09
693,39,0.50488,1.9033,0.4541,0.356,217,1.6171e+09
693,39,0.5127,1.9316,0.45605,0.356,194,1.6171e+09
693,39,0.45508,1.9746,0.46777,0.356,120,1.6171e+09
693,39,0.52734,1.9844,0.47949,0.356,50,1.6171e+09
693,39,0.42285,1.8047,0.5498,0.71201,10,1.6171e+09
693,39,0.42969,1.8467,0.50488,0.71201,31,1.6171e+09
693,39,0.49805,1.8555,0.52344,0.71201,60,1.6171e+09
693,39,0.50488,1.8887,0.51074,0.71201,78,1.6171e+09
693,39,0.44824,1.9307,0.52246,0.71201,70,1.6171e+09
693,39,0.51953,1.9414,0.5332,0.71201,44,1.6171e+09
693,39,0.46094,1.9814,0.55469,0.71201,18,1.6171e+09
693,39,0.37305,1.9014,0.46191,1.068,8,1.6171e+09
693,39,0.37891,1.8994,0.5752,1.068,10,1.6171e+09
693,39,0.38477,1.9707,0.41602,1.068,9,1.6171e+09
693,39,0.30664,1.9268,0.20703,-0.71201,7,1.6171e+09
693,39,0.37305,1.9307,0.31445,-0.71201,13,1.6171e+09
693,39,0.37891,1.9746,0.20801,-0.71201,16,1.6171e+09
693,39,0.44824,1.9814,0.27344,-0.71201,14,1.6171e+09
693,39,-0.11719,1.8711,-0.0068359,-0.356,8,1.6171e+09
693,39,0,1.9033,0,-0.356,8,1.6171e+09
693,39,0.18164,1.916,0.18164,-0.356,11,1.6171e+09
693,39,0.36816,1.8965,0.3457,-0.356,31,1.6171e+09
693,39,0.37305,1.9258,0.3418,-0.356,55,1.6171e+09
693,39,0.44238,1.9404,0.35254,-0.356,66,1.6171e+09
