SpineBase_X,SpineMid_X,Neck_X,Head_X,ShoulderLeft_X,ElbowLeft_X,WristLeft_X,HandLeft_X,ShoulderRight_X,ElbowRight_X,WristRight_X,HandRight_X,HipLeft_X,KneeLeft_X,AnkleLeft_X,FootLeft_X,HipRight_X,KneeRight_X,AnkleRight_X,FootRight_X,SpineShoulder_X,HandTipLeft_X,ThumbLeft_X,HandTipRight_X,ThumbRight_X,SpineBase_Y,SpineMid_Y,Neck_Y,Head_Y,ShoulderLeft_Y,ElbowLeft_Y,WristLeft_Y,HandLeft_Y,ShoulderRight_Y,ElbowRight_Y,WristRight_Y,HandRight_Y,HipLeft_Y,KneeLeft_Y,AnkleLeft_Y,FootLeft_Y,HipRight_Y,KneeRight_Y,AnkleRight_Y,FootRight_Y,SpineShoulder_Y,HandTipLeft_Y,ThumbLeft_Y,HandTipRight_Y,ThumbRight_Y,SpineBase_Z,SpineMid_Z,Neck_Z,Head_Z,ShoulderLeft_Z,ElbowLeft_Z,WristLeft_Z,HandLeft_Z,ShoulderRight_Z,ElbowRight_Z,WristRight_Z,HandRight_Z,HipLeft_Z,KneeLeft_Z,AnkleLeft_Z,FootLeft_Z,HipRight_Z,KneeRight_Z,AnkleRight_Z,FootRight_Z,SpineShoulder_Z,HandTipLeft_Z,ThumbLeft_Z,HandTipRight_Z,ThumbRight_Z
0.20828,0.20736,0.20507,0.20766,0.38726,0.4281,0.41408,0.40646,0.02934,-0.012341,-0.0089743,0.0093773,0.28644,0.28786,0.28816,0.31829,0.12211,0.10085,0.10074,0.075718,0.20587,0.40487,0.36029,0.01061,0.050302,1.9702,1.9911,1.9978,2.0016,1.9869,1.9758,1.9189,1.9055,1.9742,1.9659,1.8809,1.8675,1.9315,1.9798,1.9824,1.8972,1.9333,1.9849,1.9752,1.8813,1.9985,1.8992,1.8604,1.8571,1.8591,-0.2095,0.11328,0.42342,0.56783,0.2932,0.045066,-0.16807,-0.21724,0.28732,0.034063,-0.18068,-0.24898,-0.20401,-0.55607,-0.86695,-0.93828,-0.20696,-0.58569,-0.88727,-0.94094,0.34755,-0.27967,-0.20047,-0.31876,-0.22406
0.20805,0.20731,0.20514,0.20781,0.38641,0.42934,0.43541,0.43607,0.029311,-0.012411,-0.0095583,0.0087635,0.2862,0.28744,0.28745,0.31833,0.12187,0.10059,0.099846,0.076267,0.2059,0.43667,0.37558,0.010537,0.051362,1.9702,1.9912,1.9983,2.0019,1.9866,1.977,1.9307,1.9173,1.9739,1.9655,1.8805,1.8659,1.9315,1.9797,1.9824,1.8959,1.9332,1.9845,1.9729,1.8784,1.9989,1.9093,1.883,1.8573,1.8572,-0.20982,0.1132,0.42356,0.5679,0.2933,0.041292,-0.16917,-0.22078,0.28734,0.034186,-0.17718,-0.2485,-0.20433,-0.55624,-0.86805,-0.93868,-0.20728,-0.58991,-0.88623,-0.94122,0.34762,-0.28439,-0.21603,-0.31844,-0.2211
0.20791,0.20722,0.20508,0.20783,0.38257,0.46723,0.53624,0.55968,0.029064,-0.013057,-0.010313,0.010428,0.28601,0.28728,0.28677,0.31824,0.12174,0.10027,0.099505,0.077037,0.20583,0.57072,0.53176,0.0098858,0.053089,1.9702,1.9913,1.9985,2.0022,1.9874,1.9839,1.9419,1.9196,1.9724,1.9634,1.8797,1.8646,1.9316,1.9796,1.9825,1.8957,1.9331,1.9844,1.9723,1.8802,1.9991,1.9041,1.8809,1.8538,1.8554,-0.20996,0.11315,0.42357,0.56788,0.29533,0.057377,-0.14174,-0.19313,0.2882,0.03501,-0.17538,-0.24593,-0.20444,-0.5556,-0.86777,-0.93835,-0.20747,-0.58879,-0.88466,-0.94008,0.34761,-0.24915,-0.22129,-0.31603,-0.22171
0.20752,0.20661,0.20414,0.20765,0.38077,0.50467,0.61658,0.64451,0.028503,-0.01402,-0.010602,0.0096484,0.28545,0.28675,0.28585,0.31781,0.12134,0.099781,0.099497,0.077003,0.20498,0.66739,0.62318,0.0095374,0.053399,1.9701,1.9915,1.9988,2.0023,1.9888,1.9849,1.9477,1.9261,1.971,1.9619,1.8789,1.8655,1.9319,1.9797,1.982,1.898,1.9327,1.9843,1.972,1.8798,1.9993,1.9044,1.8772,1.8525,1.8551,-0.20999,0.11317,0.42369,0.56793,0.29594,0.087234,-0.090813,-0.13724,0.28849,0.036565,-0.17635,-0.24604,-0.20442,-0.55507,-0.86711,-0.93857,-0.20755,-0.58696,-0.88485,-0.9402,0.34771,-0.19121,-0.16755,-0.31624,-0.22213
0.20575,0.20446,0.2015,0.20575,0.38139,0.56441,0.72685,0.78876,0.026885,-0.015712,-0.011806,0.0072225,0.28354,0.2841,0.28546,0.31756,0.11972,0.098038,0.099302,0.079613,0.20248,0.82521,0.79059,0.0039155,0.052555,1.9695,1.9912,1.999,2.0027,1.9929,1.993,1.9607,1.9408,1.9681,1.9602,1.8759,1.867,1.932,1.9797,1.9818,1.8973,1.9312,1.9814,1.9715,1.8906,1.9994,1.9175,1.9513,1.8519,1.8531,-0.20891,0.11383,0.42403,0.56829,0.2996,0.16838,0.038034,-0.011048,0.28849,0.038696,-0.18591,-0.24643,-0.20333,-0.5546,-0.86603,-0.93826,-0.20642,-0.56872,-0.87973,-0.93328,0.34813,-0.046565,-0.043809,-0.31684,-0.23161
0.20279,0.20126,0.19811,0.20142,0.38569,0.60729,0.80407,0.86907,0.024181,-0.017731,-0.01332,0.0044396,0.28037,0.28341,0.28521,0.3188,0.11713,0.097362,0.09928,0.079182,0.19915,0.93828,0.88527,0.0014542,0.050816,1.9679,1.9899,1.9978,2.0019,1.9948,2.0009,1.9818,1.9668,1.9659,1.9585,1.8743,1.8642,1.9314,1.9791,1.9805,1.894,1.9287,1.981,1.9713,1.8877,1.9982,1.9548,1.9804,1.8522,1.8534,-0.20662,0.11515,0.42447,0.5686,0.30588,0.26508,0.20255,0.1787,0.28798,0.038149,-0.1893,-0.24849,-0.20089,-0.55332,-0.86638,-0.93989,-0.20431,-0.57201,-0.87909,-0.9345,0.3488,0.14322,0.1432,-0.32168,-0.22513
0.20149,0.19925,0.1954,0.19812,0.39253,0.62115,0.83545,0.91583,0.022544,-0.018318,-0.014194,0.0040642,0.27869,0.2832,0.28515,0.31995,0.11629,0.096996,0.099499,0.079315,0.19662,0.9864,0.92316,0.0019775,0.04967,1.9665,1.9888,1.9969,2.0009,1.9971,2.0133,1.9996,1.9878,1.9647,1.9573,1.8736,1.8641,1.9303,1.9777,1.9801,1.8944,1.9271,1.9799,1.9704,1.8863,1.9972,1.9905,2.009,1.8524,1.8517,-0.20363,0.11698,0.42541,0.56903,0.32255,0.35149,0.35064,0.35581,0.28758,0.038139,-0.1905,-0.24907,-0.19725,-0.55282,-0.86758,-0.94135,-0.20204,-0.57295,-0.88121,-0.93516,0.34995,0.3516,0.33004,-0.32511,-0.2442
0.2021,0.19835,0.19342,0.1969,0.39604,0.62504,0.82648,0.9053,0.021951,-0.017777,-0.014504,0.0042679,0.27921,0.28389,0.28508,0.32011,0.11703,0.096813,0.099717,0.079597,0.19495,0.96554,0.93853,0.001614,0.050147,1.9647,1.9873,1.9954,1.9997,1.9998,2.0229,2.0156,2.0078,1.9642,1.9556,1.873,1.8622,1.9285,1.9752,1.9798,1.8959,1.9253,1.9782,1.9707,1.8863,1.9958,1.9985,2.0332,1.8504,1.849,-0.19848,0.11946,0.42623,0.56897,0.33807,0.41037,0.44642,0.47619,0.28799,0.037741,-0.19095,-0.24989,-0.19135,-0.54893,-0.8657,-0.94058,-0.19784,-0.57103,-0.88013,-0.93459,0.35113,0.49309,0.45262,-0.32568,-0.23568
0.20339,0.19843,0.19287,0.19611,0.3972,0.6218,0.82223,0.89939,0.021633,-0.017242,-0.014025,0.0066791,0.28036,0.28444,0.28508,0.32004,0.11849,0.0982,0.099111,0.079908,0.19451,0.96452,0.92344,0.0061737,0.050277,1.9632,1.9862,1.9946,1.9988,2.0026,2.0273,2.0227,2.0178,1.9635,1.9545,1.872,1.8625,1.9275,1.9742,1.9791,1.8956,1.9234,1.9767,1.9705,1.8874,1.995,2.0182,2.055,1.8498,1.8504,-0.19532,0.12108,0.42669,0.56908,0.34729,0.43129,0.47259,0.51146,0.28828,0.037761,-0.19257,-0.25009,-0.18823,-0.54789,-0.86621,-0.9402,-0.19471,-0.56631,-0.87782,-0.93347,0.35181,0.52952,0.4871,-0.32546,-0.24166
0.20463,0.19849,0.19189,0.19519,0.39681,0.61798,0.81765,0.89286,0.021425,-0.016734,-0.012995,0.0085458,0.28173,0.28521,0.28524,0.31983,0.11959,0.099052,0.099118,0.079032,0.19379,0.95388,0.9128,0.0098497,0.049545,1.9626,1.9856,1.9941,1.9982,2.0045,2.0316,2.0277,2.0242,1.9628,1.9535,1.8714,1.8607,1.9272,1.9734,1.9791,1.8954,1.9225,1.9773,1.9698,1.8846,1.9944,2.0208,2.0446,1.8492,1.8515,-0.19336,0.12251,0.42747,0.56922,0.35217,0.44392,0.48941,0.52378,0.28845,0.037794,-0.1936,-0.2515,-0.18576,-0.54693,-0.8662,-0.94007,-0.19332,-0.5702,-0.87912,-0.93589,0.35274,0.54882,0.49941,-0.32526,-0.22249
