SpineBase_X,SpineMid_X,Neck_X,Head_X,ShoulderLeft_X,ElbowLeft_X,WristLeft_X,HandLeft_X,ShoulderRight_X,ElbowRight_X,WristRight_X,HandRight_X,HipLeft_X,KneeLeft_X,AnkleLeft_X,FootLeft_X,HipRight_X,KneeRight_X,AnkleRight_X,FootRight_X,SpineShoulder_X,HandTipLeft_X,ThumbLeft_X,HandTipRight_X,ThumbRight_X,SpineBase_Y,SpineMid_Y,Neck_Y,Head_Y,ShoulderLeft_Y,ElbowLeft_Y,WristLeft_Y,HandLeft_Y,ShoulderRight_Y,ElbowRight_Y,WristRight_Y,HandRight_Y,HipLeft_Y,KneeLeft_Y,AnkleLeft_Y,FootLeft_Y,HipRight_Y,KneeRight_Y,AnkleRight_Y,FootRight_Y,SpineShoulder_Y,HandTipLeft_Y,ThumbLeft_Y,HandTipRight_Y,ThumbRight_Y,SpineBase_Z,SpineMid_Z,Neck_Z,Head_Z,ShoulderLeft_Z,ElbowLeft_Z,WristLeft_Z,HandLeft_Z,ShoulderRight_Z,ElbowRight_Z,WristRight_Z,HandRight_Z,HipLeft_Z,KneeLeft_Z,AnkleLeft_Z,FootLeft_Z,HipRight_Z,KneeRight_Z,AnkleRight_Z,FootRight_Z,SpineShoulder_Z,HandTipLeft_Z,ThumbLeft_Z,HandTipRight_Z,ThumbRight_Z
0.18668,0.1818,0.17647,0.17738,0.36812,0.56785,0.56169,0.57786,0.012337,-0.026111,-0.032409,-0.022958,0.26732,0.28035,0.28531,0.31824,0.098988,0.093025,0.099101,0.080069,0.17795,0.58304,0.6122,-0.018928,-0.0049952,1.9524,1.9727,1.9785,1.9745,1.9966,2.0585,1.9574,1.9423,1.9396,1.9235,1.84,1.8232,1.9175,1.9599,1.9772,1.8992,1.9121,1.9701,1.9694,1.8926,1.9794,1.9238,1.935,1.8075,1.7834,-0.20391,0.11691,0.4254,0.56826,0.31908,0.25575,0.49552,0.54484,0.28848,0.029538,-0.18209,-0.25235,-0.19637,-0.54405,-0.8673,-0.93952,-0.20363,-0.56425,-0.87539,-0.93129,0.34993,0.60253,0.54955,-0.31856,-0.25078
0.18663,0.18151,0.17538,0.17597,0.36728,0.57473,0.65905,0.70308,0.010266,-0.026608,-0.03211,-0.02557,0.26719,0.28029,0.28527,0.31859,0.098992,0.092752,0.099218,0.080155,0.17713,0.73311,0.74076,-0.022081,0.0102,1.9522,1.9727,1.9792,1.9743,1.9978,2.0487,1.9561,1.9287,1.9412,1.9246,1.8419,1.8251,1.9172,1.9598,1.9772,1.8973,1.9119,1.9689,1.9694,1.8941,1.9799,1.9099,1.9315,1.8135,1.8479,-0.20366,0.11703,0.42535,0.56837,0.32127,0.27906,0.47211,0.53747,0.28726,0.029018,-0.18268,-0.25427,-0.19603,-0.54406,-0.86691,-0.9397,-0.20348,-0.56103,-0.87453,-0.93076,0.34995,0.59117,0.52896,-0.32351,-0.23734
0.18638,0.1805,0.17294,0.17266,0.3678,0.58902,0.75986,0.83159,0.0070618,-0.027541,-0.032594,-0.02864,0.26683,0.28011,0.28513,0.31926,0.09879,0.092816,0.099361,0.080371,0.17508,0.89225,0.86821,-0.02391,0.0068597,1.9519,1.9725,1.979,1.9736,1.9973,2.0279,1.9533,1.9335,1.9424,1.9261,1.8431,1.8274,1.9169,1.9595,1.9768,1.895,1.9117,1.9681,1.9694,1.8944,1.9797,1.918,1.9484,1.817,1.8507,-0.20325,0.11732,0.42539,0.56858,0.32457,0.33916,0.43319,0.46834,0.28577,0.028135,-0.1856,-0.25776,-0.19542,-0.54391,-0.86681,-0.93952,-0.20323,-0.55952,-0.87395,-0.93041,0.35007,0.50315,0.44969,-0.32827,-0.23872
0.18617,0.17931,0.17052,0.16917,0.36915,0.60136,0.80134,0.88435,0.0032437,-0.028458,-0.033238,-0.029493,0.2665,0.28,0.28516,0.31972,0.098649,0.092859,0.099387,0.080282,0.17297,0.94486,0.88624,-0.025092,-0.0092978,1.9521,1.9727,1.9794,1.974,1.9947,2.0157,1.9673,1.9599,1.9445,1.9278,1.8448,1.8286,1.9178,1.9588,1.9766,1.8947,1.9114,1.9679,1.9694,1.8948,1.98,1.9497,1.9795,1.8158,1.7909,-0.20214,0.1183,0.42625,0.56884,0.33086,0.36025,0.38545,0.38667,0.28477,0.026883,-0.18706,-0.25814,-0.19371,-0.54273,-0.86698,-0.93983,-0.20254,-0.55781,-0.87398,-0.93062,0.35097,0.39243,0.35518,-0.32847,-0.2575
0.186,0.17868,0.16966,0.16835,0.37051,0.60357,0.81726,0.89126,0.0024513,-0.029418,-0.033894,-0.030357,0.26632,0.2797,0.28514,0.31899,0.098496,0.092832,0.099103,0.080293,0.17214,0.95446,0.88712,-0.027333,-0.011139,1.9524,1.9728,1.9793,1.9739,1.9918,2.0082,1.9747,1.9671,1.9457,1.9307,1.849,1.8357,1.9181,1.9585,1.9766,1.8953,1.9117,1.9682,1.9695,1.8952,1.98,1.9577,1.9838,1.8222,1.798,-0.20086,0.11894,0.42647,0.56891,0.33367,0.35334,0.34679,0.33637,0.28487,0.027005,-0.18777,-0.2576,-0.19232,-0.54165,-0.86698,-0.93937,-0.20147,-0.55621,-0.87296,-0.92989,0.35129,0.33783,0.30696,-0.32617,-0.25281
0.18581,0.1787,0.17009,0.17006,0.37081,0.60002,0.8122,0.88329,0.0031588,-0.029724,-0.034975,-0.03143,0.26618,0.27973,0.28509,0.31965,0.098216,0.092113,0.098923,0.07994,0.17241,0.94802,0.88064,-0.028532,0.0070032,1.9524,1.9728,1.9791,1.9734,1.9901,2.0065,1.9664,1.9534,1.9458,1.932,1.8521,1.838,1.9181,1.9591,1.9766,1.8937,1.9118,1.9709,1.9685,1.8887,1.9799,1.9449,1.9676,1.8259,1.8716,-0.20077,0.11885,0.42614,0.569,0.3304,0.29664,0.25728,0.24332,0.28533,0.026713,-0.18744,-0.25674,-0.19242,-0.54274,-0.86711,-0.93981,-0.20124,-0.56814,-0.87529,-0.9327,0.35103,0.23945,0.21598,-0.32653,-0.22058
0.18539,0.1786,0.17032,0.17125,0.36557,0.56468,0.78173,0.8326,0.0037856,-0.029874,-0.035606,-0.031551,0.26595,0.27957,0.28516,0.31983,0.097574,0.092193,0.099208,0.079219,0.17256,0.88202,0.82638,-0.028563,0.0051072,1.9525,1.9727,1.9788,1.9726,1.9877,2.0009,1.9666,1.9345,1.9458,1.9325,1.8533,1.8373,1.9176,1.9597,1.9765,1.894,1.9123,1.9712,1.9687,1.8886,1.9797,1.9181,1.9573,1.8253,1.8676,-0.20212,0.11798,0.42551,0.5685,0.32081,0.22106,0.098426,0.089686,0.28538,0.026787,-0.18723,-0.25692,-0.19415,-0.5445,-0.86749,-0.94004,-0.20239,-0.56836,-0.87528,-0.93256,0.35035,0.063885,0.067918,-0.32601,-0.23187
0.18638,0.17941,0.17115,0.17209,0.36072,0.52741,0.65619,0.70399,0.0042851,-0.029979,-0.035689,-0.029647,0.26722,0.27985,0.2852,0.3183,0.098308,0.092431,0.09899,0.078719,0.17339,0.74411,0.7059,-0.026277,0.0069361,1.9535,1.9735,1.9795,1.9725,1.9862,1.9908,1.9443,1.921,1.9459,1.9331,1.8535,1.837,1.9182,1.9603,1.9765,1.8981,1.9137,1.9732,1.9691,1.8879,1.9803,1.9017,1.9448,1.8262,1.8595,-0.20551,0.11585,0.42438,0.56778,0.31105,0.1285,-0.030331,-0.076968,0.28505,0.026423,-0.18735,-0.256,-0.19776,-0.54531,-0.86855,-0.93876,-0.20547,-0.57274,-0.87536,-0.93344,0.34897,-0.12379,-0.11037,-0.32589,-0.23987
0.18928,0.18241,0.17469,0.17371,0.35727,0.46379,0.52121,0.54815,0.0061601,-0.029694,-0.035222,-0.026799,0.27057,0.28011,0.28491,0.3194,0.10073,0.093135,0.099701,0.078764,0.17675,0.56766,0.53028,-0.023252,0.0090985,1.9545,1.9745,1.9805,1.9727,1.9822,1.985,1.9349,1.9128,1.9462,1.9335,1.854,1.8375,1.9186,1.9605,1.9766,1.8986,1.9154,1.9737,1.9691,1.8898,1.9813,1.9009,1.9475,1.8272,1.861,-0.21027,0.11331,0.42366,0.56784,0.30271,0.066531,-0.13015,-0.1919,0.28491,0.026333,-0.18676,-0.25451,-0.2029,-0.54538,-0.86761,-0.94017,-0.2097,-0.57229,-0.87726,-0.93228,0.34781,-0.24647,-0.22159,-0.32159,-0.24055
0.19132,0.18566,0.17946,0.17819,0.35793,0.41839,0.4131,0.41209,0.0092561,-0.027722,-0.033952,-0.02401,0.27272,0.28123,0.28488,0.31941,0.10259,0.093517,0.099036,0.079296,0.18113,0.43153,0.36049,-0.021531,0.013007,1.9555,1.9755,1.9814,1.9732,1.9794,1.9744,1.9135,1.9017,1.9467,1.9343,1.8556,1.8397,1.9193,1.961,1.9764,1.8967,1.9167,1.9743,1.9689,1.8882,1.9823,1.8908,1.8582,1.83,1.8701,-0.2125,0.11184,0.42335,0.56799,0.29616,0.035666,-0.17664,-0.22516,0.28621,0.027788,-0.18387,-0.25016,-0.20553,-0.54688,-0.86721,-0.94037,-0.21149,-0.57585,-0.87901,-0.9341,0.34715,-0.28361,-0.24964,-0.32117,-0.21833
