Frame #,# Obj,X,Y,Z,Doppler,Intensity,Abs Time
563,33,0.19727,2.0234,0.55957,0,9,1.6173e+09
563,33,0.2002,2.0391,0.60938,0,9,1.6173e+09
563,33,0.20313,2.0752,0.58984,0,7,1.6173e+09
563,33,0,1.7988,0.25,0.356,6,1.6173e+09
563,33,0,1.8125,0.3457,0.356,11,1.6173e+09
563,33,0.058594,1.873,0.050781,0.356,10,1.6173e+09
563,33,-0.29785,1.7432,0.70508,0.356,10,1.6173e+09
563,33,-0.18164,1.8408,0.5625,0.356,29,1.6173e+09
563,33,-0.12305,1.8965,0.49121,0.356,40,1.6173e+09
563,33,-0.12402,1.9375,0.44531,0.356,33,1.6173e+09
563,33,0.26367,1.9834,0.66504,0.356,28,1.6173e+09
563,33,0.26758,2.0039,0.69531,0.356,25,1.6173e+09
563,33,0.27051,2.0449,0.66602,0.356,16,1.6173e+09
563,33,-0.24121,1.8203,0.60449,0.71201,8,1.6173e+09
563,33,-0.18359,1.8887,0.50098,0.71201,11,1.6173e+09
563,33,0,1.8916,0.62305,0.71201,9,1.6173e+09
563,33,0.19727,1.9551,0.7666,0.71201,12,1.6173e+09
563,33,0.2002,2.0225,0.66406,0.71201,11,1.6173e+09
563,33,0.13574,1.999,0.82715,0.71201,8,1.6173e+09
563,33,-0.12109,1.8818,0.42578,-0.71201,7,1.6173e+09
563,33,0,1.9404,0.29004,-0.71201,9,1.6173e+09
563,33,0,1.8369,0.1709,-0.356,10,1.6173e+09
563,33,0,1.873,-0.074219,-0.356,8,1.6173e+09
563,33,-0.23828,1.793,0.5957,-0.356,8,1.6173e+09
563,33,-0.12109,1.876,0.4502,-0.356,25,1.6173e+09
563,33,-0.12305,1.9219,0.37891,-0.356,34,1.6173e+09
563,33,-0.12402,1.9609,0.32617,-0.356,28,1.6173e+09
563,33,-2.9658,0.57324,0.93945,-0.356,6,1.6173e+09
563,33,-2.8936,1.0498,0.84766,-0.356,7,1.6173e+09
563,33,-2.9199,0.99121,0.93359,-0.356,5,1.6173e+09
563,33,2.1748,0.66992,-2.1973,-0.356,5,1.6173e+09
563,33,2.1953,0.74316,-2.1963,-0.356,6,1.6173e+09
563,33,-0.30176,3.1885,0.34668,-0.356,4,1.6173e+09
564,52,0.25977,2.002,0.49902,0,12,1.6173e+09
564,52,0.26367,2.0322,0.49902,0,24,1.6173e+09
564,52,0.26758,2.0566,0.51758,0,33,1.6173e+09
564,52,0.33887,2.0713,0.54004,0,32,1.6173e+09
564,52,0.34277,2.0781,0.62305,0,22,1.6173e+09
564,52,0.34766,2.1133,0.60547,0,11,1.6173e+09
564,52,0.88184,0,-3.0791,0,6,1.6173e+09
