SpineBase_X,SpineMid_X,Neck_X,Head_X,ShoulderLeft_X,ElbowLeft_X,WristLeft_X,HandLeft_X,ShoulderRight_X,ElbowRight_X,WristRight_X,HandRight_X,HipLeft_X,KneeLeft_X,AnkleLeft_X,FootLeft_X,HipRight_X,KneeRight_X,AnkleRight_X,FootRight_X,SpineShoulder_X,HandTipLeft_X,ThumbLeft_X,HandTipRight_X,ThumbRight_X,SpineBase_Y,SpineMid_Y,Neck_Y,Head_Y,ShoulderLeft_Y,ElbowLeft_Y,WristLeft_Y,HandLeft_Y,ShoulderRight_Y,ElbowRight_Y,WristRight_Y,HandRight_Y,HipLeft_Y,KneeLeft_Y,AnkleLeft_Y,FootLeft_Y,HipRight_Y,KneeRight_Y,AnkleRight_Y,FootRight_Y,SpineShoulder_Y,HandTipLeft_Y,ThumbLeft_Y,HandTipRight_Y,ThumbRight_Y,SpineBase_Z,SpineMid_Z,Neck_Z,Head_Z,ShoulderLeft_Z,ElbowLeft_Z,WristLeft_Z,HandLeft_Z,ShoulderRight_Z,ElbowRight_Z,WristRight_Z,HandRight_Z,HipLeft_Z,KneeLeft_Z,AnkleLeft_Z,FootLeft_Z,HipRight_Z,KneeRight_Z,AnkleRight_Z,FootRight_Z,SpineShoulder_Z,HandTipLeft_Z,ThumbLeft_Z,HandTipRight_Z,ThumbRight_Z
0.1605,0.15837,0.15646,0.15399,0.30892,0.35659,0.35967,0.35094,0.0043835,-0.050597,-0.064269,-0.067848,0.23222,0.25587,0.2711,0.28081,0.083219,0.075478,0.053122,0.046621,0.15706,0.33015,0.31108,-0.063524,-0.038506,2.0227,2.0463,2.055,2.0534,2.0237,2.0382,1.9798,1.9746,1.9812,1.9609,1.8956,1.8862,1.9895,2.0209,2.0375,1.9036,1.981,2.0033,2.045,1.9771,2.0552,1.9475,1.9258,1.8788,1.856,-0.22653,0.094578,0.40386,0.54663,0.27518,0.0015684,-0.19967,-0.23628,0.26828,0.013132,-0.18621,-0.20603,-0.22256,-0.52142,-0.85281,-0.88206,-0.22249,-0.4948,-0.8571,-0.94225,0.32812,-0.33561,-0.25627,-0.26934,-0.22492
0.16084,0.159,0.15717,0.15456,0.30911,0.35613,0.36392,0.36611,0.0049753,-0.05101,-0.064627,-0.063637,0.23253,0.2554,0.27179,0.28146,0.08349,0.075582,0.052982,0.046758,0.15776,0.36326,0.31751,-0.057624,-0.032993,2.0228,2.0464,2.0552,2.0538,2.0234,2.0381,1.9846,1.9812,1.9812,1.9608,1.8953,1.8874,1.9899,2.021,2.0381,1.9041,1.981,2.0028,2.0445,1.9769,2.0554,1.9794,1.9428,1.8786,1.8623,-0.22675,0.0944,0.40374,0.54651,0.27486,0.0012243,-0.20091,-0.23563,0.26839,0.013243,-0.18603,-0.20568,-0.22289,-0.5225,-0.85678,-0.88598,-0.22255,-0.49345,-0.85536,-0.94225,0.32798,-0.28547,-0.24212,-0.27072,-0.22157
0.16068,0.15893,0.15681,0.15377,0.30886,0.38468,0.47496,0.49465,0.0051938,-0.05095,-0.064477,-0.059594,0.23228,0.25457,0.27158,0.28255,0.083306,0.075009,0.052459,0.046589,0.1575,0.52531,0.49818,-0.05404,-0.021557,2.0228,2.0463,2.0551,2.0534,2.0277,2.0436,1.9859,1.9736,1.981,1.9608,1.8947,1.8889,1.9898,2.0209,2.038,1.9043,1.9808,2.0019,2.0444,1.9775,2.0553,1.9553,1.9336,1.8792,1.8959,-0.22704,0.094196,0.4035,0.54603,0.27836,0.015813,-0.16322,-0.1742,0.26833,0.013805,-0.18532,-0.20769,-0.2232,-0.52238,-0.85434,-0.88358,-0.22273,-0.49143,-0.85437,-0.94224,0.32776,-0.23254,-0.23168,-0.2719,-0.20262
0.15983,0.15826,0.15606,0.15256,0.30771,0.42822,0.56664,0.58768,0.0048938,-0.051446,-0.064285,-0.060204,0.23134,0.25551,0.27164,0.28263,0.082479,0.074096,0.052501,0.046386,0.15679,0.63189,0.60024,-0.053303,-0.029046,2.0223,2.0461,2.0552,2.0527,2.0273,2.0422,1.9852,1.9748,1.9809,1.9602,1.8945,1.8877,1.9892,2.0198,2.0379,1.9042,1.9804,2.0022,2.0445,1.9772,2.0554,1.9571,1.953,1.8792,1.8639,-0.22732,0.093937,0.40321,0.54553,0.27697,0.04021,-0.10417,-0.11878,0.26826,0.014214,-0.18506,-0.20823,-0.2235,-0.51791,-0.85689,-0.88608,-0.22294,-0.49417,-0.85512,-0.94231,0.32749,-0.16798,-0.16519,-0.2745,-0.22291
0.15734,0.15475,0.15108,0.14811,0.30843,0.50317,0.69564,0.73763,0.0021531,-0.054581,-0.064065,-0.062717,0.2286,0.25593,0.27173,0.28323,0.080162,0.072871,0.053193,0.046174,0.15218,0.80315,0.78233,-0.05607,-0.032696,2.0217,2.0457,2.0553,2.0507,2.0313,2.0539,2.0057,1.9945,1.9826,1.96,1.8931,1.885,1.9882,2.0199,2.038,1.9043,1.98,2.004,2.0448,1.9771,2.0553,1.9786,1.9631,1.8761,1.8576,-0.22708,0.094099,0.40329,0.54539,0.27734,0.13604,0.079297,0.072707,0.26783,0.012686,-0.18646,-0.20826,-0.22334,-0.515,-0.85547,-0.88464,-0.22252,-0.49819,-0.85686,-0.9423,0.32759,0.055344,0.039961,-0.27455,-0.22261
0.15628,0.15358,0.14974,0.14605,0.30985,0.5195,0.71989,0.79277,0.0013558,-0.055048,-0.06457,-0.064442,0.22735,0.25594,0.27182,0.28378,0.079206,0.072438,0.052818,0.068421,0.15089,0.85006,0.82315,-0.056402,-0.034919,2.0213,2.0455,2.0555,2.0505,2.0335,2.0603,2.0162,1.9986,1.9826,1.96,1.8932,1.8858,1.9871,2.0197,2.0378,1.9041,1.98,2.0043,2.044,1.9101,2.0554,1.9851,1.9904,1.878,1.8576,-0.22637,0.094441,0.40332,0.54505,0.27977,0.1875,0.17205,0.17813,0.26783,0.01299,-0.18617,-0.20865,-0.22246,-0.51333,-0.85464,-0.8838,-0.22188,-0.4996,-0.85092,-0.88006,0.32769,0.17863,0.1578,-0.27754,-0.22407
0.1553,0.15209,0.14765,0.14345,0.31352,0.53816,0.73878,0.81113,-0.00015107,-0.055316,-0.065664,-0.066106,0.22623,0.25571,0.27203,0.28425,0.078368,0.073237,0.052843,0.046073,0.14895,0.86635,0.81311,-0.060656,-0.034757,2.021,2.0453,2.0553,2.05,2.0362,2.0647,2.024,2.0103,1.983,1.9611,1.8943,1.8892,1.9862,2.0197,2.0375,1.9039,1.9802,2.0028,2.0451,1.9775,2.0552,2.0013,1.9994,1.8785,1.8641,-0.22498,0.095363,0.40381,0.54511,0.28422,0.24892,0.26356,0.29695,0.26761,0.013153,-0.18599,-0.20933,-0.22089,-0.51235,-0.85302,-0.88219,-0.22064,-0.49457,-0.85229,-0.94234,0.3283,0.31655,0.27437,-0.27673,-0.22225
0.15509,0.15093,0.14498,0.1404,0.31591,0.55068,0.75059,0.8187,-0.0013876,-0.0558,-0.065776,-0.0649,0.22603,0.25556,0.27213,0.28403,0.078202,0.074337,0.053169,0.045866,0.14672,0.87929,0.81329,-0.058416,-0.036019,2.0207,2.045,2.0551,2.0486,2.0366,2.0627,2.0275,2.0191,1.9828,1.9617,1.895,1.89,1.9857,2.0195,2.0373,1.9037,1.9802,2.0025,2.0448,1.9785,2.0549,2.0239,2.0081,1.8794,1.8594,-0.22349,0.096222,0.40417,0.54499,0.28939,0.27949,0.30582,0.34223,0.26726,0.012461,-0.18673,-0.21136,-0.21934,-0.51175,-0.8526,-0.88175,-0.21922,-0.49389,-0.85516,-0.94249,0.32881,0.36159,0.31598,-0.27961,-0.22897
0.15527,0.15003,0.14256,0.13778,0.31634,0.55319,0.75353,0.81952,-0.0032564,-0.055752,-0.065398,-0.062519,0.22619,0.2552,0.2723,0.28397,0.078416,0.074827,0.052996,0.045959,0.14472,0.87641,0.81824,-0.053788,-0.03351,2.0205,2.045,2.0551,2.0479,2.0369,2.0611,2.0292,2.0226,1.9829,1.962,1.8955,1.8892,1.9855,2.019,2.0373,1.9036,1.9801,2.0044,2.0442,1.978,2.055,2.028,1.9857,1.8797,1.8625,-0.22207,0.096894,0.40423,0.54463,0.29278,0.28967,0.31512,0.344,0.26709,0.012488,-0.18678,-0.21185,-0.21767,-0.51065,-0.85258,-0.8817,-0.21811,-0.49878,-0.85375,-0.94245,0.32906,0.36349,0.3305,-0.28039,-0.22472
0.15483,0.14822,0.13961,0.13477,0.31629,0.557,0.75246,0.81027,-0.005143,-0.056176,-0.065077,-0.064735,0.2257,0.25467,0.27282,0.28446,0.07808,0.076414,0.053019,0.068317,0.142,0.85976,0.8243,-0.056996,-0.035013,2.0203,2.0449,2.0552,2.048,2.0375,2.0602,2.0234,2.0211,1.9827,1.9622,1.8958,1.8843,1.9853,2.0184,2.0376,1.9038,1.98,2.0054,2.0439,1.9099,2.055,2.0208,2.0194,1.8774,1.8503,-0.22016,0.09797,0.40436,0.54474,0.29529,0.29437,0.34245,0.38419,0.26669,0.013077,-0.18624,-0.21309,-0.21515,-0.50985,-0.84912,-0.87827,-0.21681,-0.49801,-0.85302,-0.88205,0.32941,0.41736,0.35798,-0.28043,-0.23193
